SEQ_NAME	START	END	STRAND	FEATURE_NAME	GENE_NAME	ALIASES	DESCRIPTION	TXN_START	TXN_END	CDS_START	CDS_END	EXON_COUNT	EXON_STARTS	EXON_ENDS
NC_007795.1	62384	63772	+	-	-	 	 	62384	63772	62384	63772	1	62384	63772
NC_007795.1	64265	65926	-	-	-	 	 	64265	65926	64265	65926	1	64265	65926
NC_007795.1	66252	68027	-	-	-	 	 	66252	68027	66252	68027	1	66252	68027
NC_007795.1	68201	69073	-	-	-	 	 	68201	69073	68201	69073	1	68201	69073
NC_007795.1	69186	70583	+	-	-	 	 	69186	70583	69186	70583	1	69186	70583
NC_007795.1	70773	71246	+	-	-	 	 	70773	71246	70773	71246	1	70773	71246
NC_007795.1	71508	73100	+	-	-	 	 	71508	73100	71508	73100	1	71508	73100
NC_007795.1	73429	74979	-	-	-	 	 	73429	74979	73429	74979	1	73429	74979
NC_007795.1	75400	76152	-	-	-	 	 	75400	76152	75400	76152	1	75400	76152
NC_007795.1	76521	77435	-	-	-	 	 	76521	77435	76521	77435	1	76521	77435
NC_007795.1	77516	78511	-	-	-	 	 	77516	78511	77516	78511	1	77516	78511
NC_007795.1	78527	79519	-	-	-	 	 	78527	79519	78527	79519	1	78527	79519
NC_007795.1	79885	80730	+	-	-	 	 	79885	80730	79885	80730	1	79885	80730
NC_007795.1	80727	81737	+	-	-	 	 	80727	81737	80727	81737	1	80727	81737
NC_007795.1	81758	83512	+	-	-	 	 	81758	83512	81758	83512	1	81758	83512
NC_007795.1	83505	84761	+	-	-	 	 	83505	84761	83505	84761	1	83505	84761
NC_007795.1	84751	86487	+	-	-	 	 	84751	86487	84751	86487	1	84751	86487
NC_007795.1	86396	88246	+	-	-	 	 	86396	88246	86396	88246	1	86396	88246
NC_007795.1	88221	88997	+	-	-	 	 	88221	88997	88221	88997	1	88221	88997
NC_007795.1	88997	90199	+	-	-	 	 	88997	90199	88997	90199	1	88997	90199
NC_007795.1	90203	90967	+	-	-	 	 	90203	90967	90203	90967	1	90203	90967
NC_007795.1	91163	91570	+	-	-	 	 	91163	91570	91163	91570	1	91163	91570
NC_007795.1	91620	92246	+	-	-	 	 	91620	92246	91620	92246	1	91620	92246
NC_007795.1	92458	93234	+	-	-	 	 	92458	93234	92458	93234	1	92458	93234
NC_007795.1	93378	93500	+	-	-	 	 	93378	93500	93378	93500	1	93378	93500
NC_007795.1	93570	94550	+	-	-	 	 	93570	94550	93570	94550	1	93570	94550
NC_007795.1	94513	95205	+	-	-	 	 	94513	95205	94513	95205	1	94513	95205
NC_007795.1	95415	96581	+	-	-	 	 	95415	96581	95415	96581	1	95415	96581
NC_007795.1	96562	97800	+	-	-	 	 	96562	97800	96562	97800	1	96562	97800
NC_007795.1	97790	99220	+	-	-	 	 	97790	99220	97790	99220	1	97790	99220
NC_007795.1	99488	100087	+	-	-	 	 	99488	100087	99488	100087	1	99488	100087
NC_007795.1	100455	101054	+	-	-	 	 	100455	101054	100455	101054	1	100455	101054
NC_007795.1	101370	102125	-	-	-	 	 	101370	102125	101370	102125	1	101370	102125
NC_007795.1	102361	103068	+	-	-	 	 	102361	103068	102361	103068	1	102361	103068
NC_007795.1	103075	104427	+	-	-	 	 	103075	104427	103075	104427	1	103075	104427
NC_007795.1	104508	105170	+	-	-	 	 	104508	105170	104508	105170	1	104508	105170
NC_007795.1	105198	106376	+	-	-	 	 	105198	106376	105198	106376	1	105198	106376
NC_007795.1	106507	107322	-	-	-	 	 	106507	107322	106507	107322	1	106507	107322
NC_007795.1	107319	108119	-	-	-	 	 	107319	108119	107319	108119	1	107319	108119
NC_007795.1	108121	108894	-	-	-	 	 	108121	108894	108121	108894	1	108121	108894
NC_007795.1	109108	110064	-	-	-	 	 	109108	110064	109108	110064	1	109108	110064
NC_007795.1	110293	111837	+	-	-	 	 	110293	111837	110293	111837	1	110293	111837
NC_007795.1	111888	113423	+	-	-	 	 	111888	113423	111888	113423	1	111888	113423
NC_007795.1	113507	113710	+	-	-	 	 	113507	113710	113507	113710	1	113507	113710
NC_007795.1	114083	114568	+	-	-	 	 	114083	114568	114083	114568	1	114083	114568
NC_007795.1	114927	115214	+	-	-	 	 	114927	115214	114927	115214	1	114927	115214
NC_007795.1	116538	119147	+	-	-	 	 	116538	119147	116538	119147	1	116538	119147
NC_007795.1	119492	120160	+	-	-	 	 	119492	120160	119492	120160	1	119492	120160
NC_007795.1	120176	120862	+	-	-	 	 	120176	120862	120176	120862	1	120176	120862
NC_007795.1	120865	121629	+	-	-	 	 	120865	121629	120865	121629	1	120865	121629
NC_007795.1	121649	123472	+	-	-	 	 	121649	123472	121649	123472	1	121649	123472
NC_007795.1	123462	124490	+	-	-	 	 	123462	124490	123462	124490	1	123462	124490
NC_007795.1	124503	125612	+	-	-	 	 	124503	125612	124503	125612	1	124503	125612
NC_007795.1	125616	126740	+	-	-	 	 	125616	126740	125616	126740	1	125616	126740
NC_007795.1	126743	127369	+	-	-	 	 	126743	127369	126743	127369	1	126743	127369
NC_007795.1	127374	128483	+	-	-	 	 	127374	128483	127374	128483	1	127374	128483
NC_007795.1	128497	129663	+	-	-	 	 	128497	129663	128497	129663	1	128497	129663
NC_007795.1	129656	130861	+	-	-	 	 	129656	130861	129656	130861	1	129656	130861
NC_007795.1	130862	132067	+	-	-	 	 	130862	132067	130862	132067	1	130862	132067
NC_007795.1	132078	132635	+	-	-	 	 	132078	132635	132078	132635	1	132078	132635
NC_007795.1	132635	133522	+	-	-	 	 	132635	133522	132635	133522	1	132635	133522
NC_007795.1	133576	134838	+	-	-	 	 	133576	134838	133576	134838	1	133576	134838
NC_007795.1	134915	136060	+	-	-	 	 	134915	136060	134915	136060	1	134915	136060
NC_007795.1	136125	136451	-	-	-	 	 	136125	136451	136125	136451	1	136125	136451
NC_007795.1	136458	136841	-	-	-	 	 	136458	136841	136458	136841	1	136458	136841
NC_007795.1	137268	138755	+	-	-	 	 	137268	138755	137268	138755	1	137268	138755
NC_007795.1	139401	140360	+	-	-	 	 	139401	140360	139401	140360	1	139401	140360
NC_007795.1	140422	140625	-	-	-	 	 	140422	140625	140422	140625	1	140422	140625
NC_007795.1	140804	141316	+	-	-	 	 	140804	141316	140804	141316	1	140804	141316
NC_007795.1	141658	142398	+	-	-	 	 	141658	142398	141658	142398	1	141658	142398
NC_007795.1	142412	143386	+	-	-	 	 	142412	143386	142412	143386	1	142412	143386
NC_007795.1	143383	144144	+	-	-	 	 	143383	144144	143383	144144	1	143383	144144
NC_007795.1	144157	145188	+	-	-	 	 	144157	145188	144157	145188	1	144157	145188
NC_007795.1	145405	145764	+	-	-	 	 	145405	145764	145405	145764	1	145405	145764
NC_007795.1	145937	146962	+	-	-	 	 	145937	146962	145937	146962	1	145937	146962
NC_007795.1	147348	148598	+	-	-	 	 	147348	148598	147348	148598	1	147348	148598
NC_007795.1	149045	156220	+	-	-	 	 	149045	156220	149045	156220	1	149045	156220
NC_007795.1	156233	156877	+	-	-	 	 	156233	156877	156233	156877	1	156233	156877
NC_007795.1	157205	157684	-	-	-	 	 	157205	157684	157205	157684	1	157205	157684
NC_007795.1	157954	158718	-	-	-	 	 	157954	158718	157954	158718	1	157954	158718
NC_007795.1	158734	159975	-	argJ	argJ	 	 	158734	159975	158734	159975	1	158734	159975
NC_007795.1	159987	161018	-	argC	argC	 	 	159987	161018	159987	161018	1	159987	161018
NC_007795.1	161057	162241	-	-	-	 	 	161057	162241	161057	162241	1	161057	162241
NC_007795.1	162494	163849	-	-	-	 	 	162494	163849	162494	163849	1	162494	163849
NC_007795.1	164125	164622	-	-	-	 	 	164125	164622	164125	164622	1	164125	164622
NC_007795.1	164749	166389	-	-	-	 	 	164749	166389	164749	166389	1	164749	166389
NC_007795.1	166583	166684	+	-	-	 	 	166583	166684	166583	166684	1	166583	166684
NC_007795.1	166663	168660	-	-	-	 	 	166663	168660	166663	168660	1	166663	168660
NC_007795.1	169309	170349	+	-	-	 	 	169309	170349	169309	170349	1	169309	170349
NC_007795.1	170349	171245	+	murQ	murQ	 	 	170349	171245	170349	171245	1	170349	171245
NC_007795.1	171257	172711	+	-	-	 	 	171257	172711	171257	172711	1	171257	172711
NC_007795.1	172714	173589	+	-	-	 	 	172714	173589	172714	173589	1	172714	173589
NC_007795.1	173783	174064	-	-	-	 	 	173783	174064	173783	174064	1	173783	174064
NC_007795.1	174277	177066	+	-	-	 	 	174277	177066	174277	177066	1	174277	177066
NC_007795.1	177271	178113	+	-	-	 	 	177271	178113	177271	178113	1	177271	178113
NC_007795.1	178115	179038	+	-	-	 	 	178115	179038	178115	179038	1	178115	179038
NC_007795.1	179025	180137	+	-	-	 	 	179025	180137	179025	180137	1	179025	180137
NC_007795.1	180402	181994	-	-	-	 	 	180402	181994	180402	181994	1	180402	181994
NC_007795.1	181951	183429	+	-	-	 	 	181951	183429	181951	183429	1	181951	183429
NC_007795.1	183435	184598	+	-	-	 	 	183435	184598	183435	184598	1	183435	184598
NC_007795.1	184615	186390	+	-	-	 	 	184615	186390	184615	186390	1	184615	186390
NC_007795.1	186428	188434	+	-	-	 	 	186428	188434	186428	188434	1	186428	188434
NC_007795.1	188732	189505	-	-	-	 	 	188732	189505	188732	189505	1	188732	189505
NC_007795.1	189695	190321	-	-	-	 	 	189695	190321	189695	190321	1	189695	190321
NC_007795.1	190530	191108	+	-	-	 	 	190530	191108	190530	191108	1	190530	191108
NC_007795.1	191491	192588	+	-	-	 	 	191491	192588	191491	192588	1	191491	192588
NC_007795.1	192601	193872	+	-	-	 	 	192601	193872	192601	193872	1	192601	193872
NC_007795.1	193875	195143	+	-	-	 	 	193875	195143	193875	195143	1	193875	195143
NC_007795.1	195145	195984	+	-	-	 	 	195145	195984	195145	195984	1	195145	195984
NC_007795.1	196058	197134	+	-	-	 	 	196058	197134	196058	197134	1	196058	197134
NC_007795.1	197159	198199	+	-	-	 	 	197159	198199	197159	198199	1	197159	198199
NC_007795.1	198254	199222	+	-	-	 	 	198254	199222	198254	199222	1	198254	199222
NC_007795.1	199583	200155	-	-	-	 	 	199583	200155	199583	200155	1	199583	200155
NC_007795.1	200310	201689	+	uhpT	uhpT	 	 	200310	201689	200310	201689	1	200310	201689
NC_007795.1	202048	202806	-	-	-	 	 	202048	202806	202048	202806	1	202048	202806
NC_007795.1	202799	204355	-	-	-	 	 	202799	204355	202799	204355	1	202799	204355
NC_007795.1	204352	205320	-	-	-	 	 	204352	205320	204352	205320	1	204352	205320
NC_007795.1	205908	208157	+	-	-	 	 	205908	208157	205908	208157	1	205908	208157
NC_007795.1	208180	208935	+	-	-	 	 	208180	208935	208180	208935	1	208180	208935
NC_007795.1	209271	211034	+	-	-	 	 	209271	211034	209271	211034	1	209271	211034
NC_007795.1	211198	211542	-	-	-	 	 	211198	211542	211198	211542	1	211198	211542
NC_007795.1	211732	213642	+	-	-	 	 	211732	213642	211732	213642	1	211732	213642
NC_007795.1	213824	213931	-	-	-	 	 	213824	213931	213824	213931	1	213824	213931
NC_007795.1	214246	215430	-	-	-	 	 	214246	215430	214246	215430	1	214246	215430
NC_007795.1	215460	217721	-	-	-	 	 	215460	217721	215460	217721	1	215460	217721
NC_007795.1	217907	219118	-	-	-	 	 	217907	219118	217907	219118	1	217907	219118
NC_007795.1	219230	220735	-	-	-	 	 	219230	220735	219230	220735	1	219230	220735
NC_007795.1	220761	222338	-	-	-	 	 	220761	222338	220761	222338	1	220761	222338
NC_007795.1	222779	223921	+	-	-	 	 	222779	223921	222779	223921	1	222779	223921
NC_007795.1	224235	225647	-	-	-	 	 	224235	225647	224235	225647	1	224235	225647
NC_007795.1	225908	226264	-	-	-	 	 	225908	226264	225908	226264	1	225908	226264
NC_007795.1	226421	226594	-	-	-	 	 	226421	226594	226421	226594	1	226421	226594
NC_007795.1	226620	227765	-	-	-	 	 	226620	227765	226620	227765	1	226620	227765
NC_007795.1	227920	228027	+	-	-	 	 	227920	228027	227920	228027	1	227920	228027
NC_007795.1	228482	229291	+	-	-	 	 	228482	229291	228482	229291	1	228482	229291
NC_007795.1	229502	229645	+	-	-	 	 	229502	229645	229502	229645	1	229502	229645
NC_007795.1	229611	231140	-	-	-	 	 	229611	231140	229611	231140	1	229611	231140
NC_007795.1	231502	232437	+	-	-	 	 	231502	232437	231502	232437	1	231502	232437
NC_007795.1	232547	232645	+	-	-	 	 	232547	232645	232547	232645	1	232547	232645
NC_007795.1	232776	234872	+	-	-	 	 	232776	234872	232776	234872	1	232776	234872
NC_007795.1	234857	235324	+	-	-	 	 	234857	235324	234857	235324	1	234857	235324
NC_007795.1	235347	235625	+	-	-	 	 	235347	235625	235347	235625	1	235347	235625
NC_007795.1	235852	237111	+	-	-	 	 	235852	237111	235852	237111	1	235852	237111
NC_007795.1	237129	238184	+	-	-	 	 	237129	238184	237129	238184	1	237129	238184
NC_007795.1	238186	238332	+	-	-	 	 	238186	238332	238186	238332	1	238186	238332
NC_007795.1	238356	239399	+	-	-	 	 	238356	239399	238356	239399	1	238356	239399
NC_007795.1	239969	240643	+	-	-	 	 	239969	240643	239969	240643	1	239969	240643
NC_007795.1	240636	241661	+	-	-	 	 	240636	241661	240636	241661	1	240636	241661
NC_007795.1	241836	243377	+	-	-	 	 	241836	243377	241836	243377	1	241836	243377
NC_007795.1	243805	244974	+	-	-	 	 	243805	244974	243805	244974	1	243805	244974
NC_007795.1	245250	245966	+	ispD	ispD	 	 	245250	245966	245250	245966	1	245250	245966
NC_007795.1	245959	246984	+	-	-	 	 	245959	246984	245959	246984	1	245959	246984
NC_007795.1	247006	248694	+	-	-	 	 	247006	248694	247006	248694	1	247006	248694
NC_007795.1	248727	250451	+	-	-	 	 	248727	250451	248727	250451	1	248727	250451
NC_007795.1	250591	251265	+	-	-	 	 	250591	251265	250591	251265	1	250591	251265
NC_007795.1	251527	253266	+	-	-	 	 	251527	253266	251527	253266	1	251527	253266
NC_007795.1	253269	254009	+	-	-	 	 	253269	254009	253269	254009	1	253269	254009
NC_007795.1	254122	254565	+	-	-	 	 	254122	254565	254122	254565	1	254122	254565
NC_007795.1	254558	255259	+	-	-	 	 	254558	255259	254558	255259	1	254558	255259
NC_007795.1	255367	256071	-	-	-	 	 	255367	256071	255367	256071	1	255367	256071
NC_007795.1	256220	257011	+	-	-	 	 	256220	257011	256220	257011	1	256220	257011
NC_007795.1	257027	258463	+	-	-	 	 	257027	258463	257027	258463	1	257027	258463
NC_007795.1	258896	259657	-	-	-	 	 	258896	259657	258896	259657	1	258896	259657
NC_007795.1	259676	259810	+	-	-	 	 	259676	259810	259676	259810	1	259676	259810
NC_007795.1	259908	260822	-	-	-	 	 	259908	260822	259908	260822	1	259908	260822
NC_007795.1	260850	261254	-	-	-	 	 	260850	261254	260850	261254	1	260850	261254
NC_007795.1	261269	262150	-	-	-	 	 	261269	262150	261269	262150	1	261269	262150
NC_007795.1	262382	263380	-	-	-	 	 	262382	263380	262382	263380	1	262382	263380
NC_007795.1	263531	263710	+	-	-	 	 	263531	263710	263531	263710	1	263531	263710
NC_007795.1	263760	264152	+	-	-	 	 	263760	264152	263760	264152	1	263760	264152
NC_007795.1	264825	266201	-	-	-	 	 	264825	266201	264825	266201	1	264825	266201
NC_007795.1	266435	267427	+	-	-	 	 	266435	267427	266435	267427	1	266435	267427
NC_007795.1	267753	268703	+	-	-	 	 	267753	268703	267753	268703	1	267753	268703
NC_007795.1	268755	269414	-	-	-	 	 	268755	269414	268755	269414	1	268755	269414
NC_007795.1	269428	270348	-	-	-	 	 	269428	270348	269428	270348	1	269428	270348
NC_007795.1	270345	271511	-	-	-	 	 	270345	271511	270345	271511	1	270345	271511
NC_007795.1	271579	273102	-	-	-	 	 	271579	273102	271579	273102	1	271579	273102
NC_007795.1	273373	274026	+	-	-	 	 	273373	274026	273373	274026	1	273373	274026
NC_007795.1	274060	274647	+	-	-	 	 	274060	274647	274060	274647	1	274060	274647
NC_007795.1	274790	275683	-	-	-	 	 	274790	275683	274790	275683	1	274790	275683
NC_007795.1	275931	276224	+	-	-	 	 	275931	276224	275931	276224	1	275931	276224
NC_007795.1	276308	279337	+	-	-	 	 	276308	279337	276308	279337	1	276308	279337
NC_007795.1	279337	279795	+	-	-	 	 	279337	279795	279337	279795	1	279337	279795
NC_007795.1	279728	280009	+	-	-	 	 	279728	280009	279728	280009	1	279728	280009
NC_007795.1	280022	281356	+	-	-	 	 	280022	281356	280022	281356	1	280022	281356
NC_007795.1	281378	285817	+	-	-	 	 	281378	285817	281378	285817	1	281378	285817
NC_007795.1	285847	286239	+	-	-	 	 	285847	286239	285847	286239	1	285847	286239
NC_007795.1	286255	286569	+	-	-	 	 	286255	286569	286255	286569	1	286255	286569
NC_007795.1	286569	287243	+	-	-	 	 	286569	287243	286569	287243	1	286569	287243
NC_007795.1	287243	287560	+	-	-	 	 	287243	287560	287243	287560	1	287243	287560
NC_007795.1	287570	289414	+	-	-	 	 	287570	289414	287570	289414	1	287570	289414
NC_007795.1	289425	289916	+	-	-	 	 	289425	289916	289425	289916	1	289425	289916
NC_007795.1	290124	290807	+	-	-	 	 	290124	290807	290124	290807	1	290124	290807
NC_007795.1	290954	291565	+	-	-	 	 	290954	291565	290954	291565	1	290954	291565
NC_007795.1	291701	291919	+	-	-	 	 	291701	291919	291701	291919	1	291701	291919
NC_007795.1	292051	292551	+	-	-	 	 	292051	292551	292051	292551	1	292051	292551
NC_007795.1	292562	293062	+	-	-	 	 	292562	293062	292562	293062	1	292562	293062
NC_007795.1	293073	293573	+	-	-	 	 	293073	293573	293073	293573	1	293073	293573
NC_007795.1	293584	294084	+	-	-	 	 	293584	294084	293584	294084	1	293584	294084
NC_007795.1	294095	294583	+	-	-	 	 	294095	294583	294095	294583	1	294095	294583
NC_007795.1	295206	295580	+	-	-	 	 	295206	295580	295206	295580	1	295206	295580
NC_007795.1	295733	296131	+	-	-	 	 	295733	296131	295733	296131	1	295733	296131
NC_007795.1	296347	297171	-	-	-	 	 	296347	297171	296347	297171	1	296347	297171
NC_007795.1	297408	298685	-	-	-	 	 	297408	298685	297408	298685	1	297408	298685
NC_007795.1	299299	300189	+	-	-	 	 	299299	300189	299299	300189	1	299299	300189
NC_007795.1	300438	301487	+	-	-	 	 	300438	301487	300438	301487	1	300438	301487
NC_007795.1	301500	302177	+	-	-	 	 	301500	302177	301500	302177	1	301500	302177
NC_007795.1	302336	302476	-	-	-	 	 	302336	302476	302336	302476	1	302336	302476
NC_007795.1	302466	303416	+	-	-	 	 	302466	303416	302466	303416	1	302466	303416
NC_007795.1	303759	304877	+	-	-	 	 	303759	304877	303759	304877	1	303759	304877
NC_007795.1	304852	305775	+	-	-	 	 	304852	305775	304852	305775	1	304852	305775
NC_007795.1	305786	307006	+	-	-	 	 	305786	307006	305786	307006	1	305786	307006
NC_007795.1	307111	308643	-	-	-	 	 	307111	308643	307111	308643	1	307111	308643
NC_007795.1	308683	309564	-	-	-	 	 	308683	309564	308683	309564	1	308683	309564
NC_007795.1	309722	310582	+	-	-	 	 	309722	310582	309722	310582	1	309722	310582
NC_007795.1	310860	311660	-	-	-	 	 	310860	311660	310860	311660	1	310860	311660
NC_007795.1	311800	312468	+	-	-	 	 	311800	312468	311800	312468	1	311800	312468
NC_007795.1	312595	313908	-	-	-	 	 	312595	313908	312595	313908	1	312595	313908
NC_007795.1	314326	316398	+	-	-	 	 	314326	316398	314326	316398	1	314326	316398
NC_007795.1	316640	317467	-	-	-	 	 	316640	317467	316640	317467	1	316640	317467
NC_007795.1	317540	318739	-	-	-	 	 	317540	318739	317540	318739	1	317540	318739
NC_007795.1	318835	318927	+	-	-	 	 	318835	318927	318835	318927	1	318835	318927
NC_007795.1	319041	320042	+	-	-	 	 	319041	320042	319041	320042	1	319041	320042
NC_007795.1	320076	320408	+	-	-	 	 	320076	320408	320076	320408	1	320076	320408
NC_007795.1	320409	321209	+	-	-	 	 	320409	321209	320409	321209	1	320409	321209
NC_007795.1	321199	322143	+	-	-	 	 	321199	322143	321199	322143	1	321199	322143
NC_007795.1	322121	323143	+	-	-	 	 	322121	323143	322121	323143	1	322121	323143
NC_007795.1	323458	324483	+	-	-	 	 	323458	324483	323458	324483	1	323458	324483
NC_007795.1	324576	325922	-	ulaA	ulaA	 	 	324576	325922	324576	325922	1	324576	325922
NC_007795.1	325937	326221	-	-	-	 	 	325937	326221	325937	326221	1	325937	326221
NC_007795.1	326223	326666	-	-	-	 	 	326223	326666	326223	326666	1	326223	326666
NC_007795.1	326671	328626	-	-	-	 	 	326671	328626	326671	328626	1	326671	328626
NC_007795.1	328838	329257	+	-	-	 	 	328838	329257	328838	329257	1	328838	329257
NC_007795.1	329364	330719	+	-	-	 	 	329364	330719	329364	330719	1	329364	330719
NC_007795.1	330823	331263	+	-	-	 	 	330823	331263	330823	331263	1	330823	331263
NC_007795.1	331346	332704	-	-	-	 	 	331346	332704	331346	332704	1	331346	332704
NC_007795.1	333012	333938	+	-	-	 	 	333012	333938	333012	333938	1	333012	333938
NC_007795.1	333952	335013	+	-	-	 	 	333952	335013	333952	335013	1	333952	335013
NC_007795.1	335027	335593	+	-	-	 	 	335027	335593	335027	335593	1	335027	335593
NC_007795.1	335653	336648	-	-	-	 	 	335653	336648	335653	336648	1	335653	336648
NC_007795.1	336647	337054	+	-	-	 	 	336647	337054	336647	337054	1	336647	337054
NC_007795.1	337067	337612	+	-	-	 	 	337067	337612	337067	337612	1	337067	337612
NC_007795.1	337880	338734	+	-	-	 	 	337880	338734	337880	338734	1	337880	338734
NC_007795.1	338731	339960	+	-	-	 	 	338731	339960	338731	339960	1	338731	339960
NC_007795.1	339971	341653	+	-	-	 	 	339971	341653	339971	341653	1	339971	341653
NC_007795.1	341746	342402	-	-	-	 	 	341746	342402	341746	342402	1	341746	342402
NC_007795.1	342464	342688	-	-	-	 	 	342464	342688	342464	342688	1	342464	342688
NC_007795.1	342788	343177	-	-	-	 	 	342788	343177	342788	343177	1	342788	343177
NC_007795.1	343418	343621	+	-	-	 	 	343418	343621	343418	343621	1	343418	343621
NC_007795.1	343618	344331	+	-	-	 	 	343618	344331	343618	344331	1	343618	344331
NC_007795.1	344356	345198	+	-	-	 	 	344356	345198	344356	345198	1	344356	345198
NC_007795.1	345198	345827	+	-	-	 	 	345198	345827	345198	345827	1	345198	345827
NC_007795.1	346194	347327	-	-	-	 	 	346194	347327	346194	347327	1	346194	347327
NC_007795.1	347866	349047	+	-	-	 	 	347866	349047	347866	349047	1	347866	349047
NC_007795.1	349130	349882	-	-	-	 	 	349130	349882	349130	349882	1	349130	349882
NC_007795.1	349925	352153	-	-	-	 	 	349925	352153	349925	352153	1	349925	352153
NC_007795.1	352150	353991	-	-	-	 	 	352150	353991	352150	353991	1	352150	353991
NC_007795.1	353960	355120	-	-	-	 	 	353960	355120	353960	355120	1	353960	355120
