#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_007795.1	56284	57054	+	3919085	-	SAOUHSC_00053	YP_498658.1	256	-	hypothetical protein SAOUHSC_00053
chr	NC_007795.1	57118	57888	+	3919086	-	SAOUHSC_00054	YP_498659.1	256	-	hypothetical protein SAOUHSC_00054
chr	NC_007795.1	57955	58722	+	3919087	-	SAOUHSC_00055	YP_498660.1	255	-	hypothetical protein SAOUHSC_00055
chr	NC_007795.1	58855	61053	+	3919088	-	SAOUHSC_00056	YP_498661.1	732	-	hypothetical protein SAOUHSC_00056
chr	NC_007795.1	61204	62382	+	3919089	-	SAOUHSC_00057	YP_498662.1	392	-	hypothetical protein SAOUHSC_00057
chr	NC_007795.1	62384	63772	+	3919090	-	SAOUHSC_00058	YP_498663.1	462	-	hypothetical protein SAOUHSC_00058
chr	NC_007795.1	64265	65926	-	3919091	-	SAOUHSC_00060	YP_498664.1	553	-	hypothetical protein SAOUHSC_00060
chr	NC_007795.1	66252	68027	-	3919092	-	SAOUHSC_00061	YP_498665.1	591	-	myosin-cross-reactive antigen
chr	NC_007795.1	68201	69073	-	3919093	-	SAOUHSC_00062	YP_498666.1	290	-	hypothetical protein SAOUHSC_00062
chr	NC_007795.1	69186	70583	+	3919094	-	SAOUHSC_00064	YP_498667.1	465	-	hypothetical protein SAOUHSC_00064
chr	NC_007795.1	70773	71246	+	3919095	-	SAOUHSC_00065	YP_498668.1	157	-	hypothetical protein SAOUHSC_00065
chr	NC_007795.1	71508	73100	+	3919096	-	SAOUHSC_00067	YP_498669.1	530	-	L-lactate permease
chr	NC_007795.1	73429	74979	-	3919448	-	SAOUHSC_00069	YP_498670.1	516	-	protein A
chr	NC_007795.1	75400	76152	-	3919449	-	SAOUHSC_00070	YP_498671.1	250	-	accessory regulator-like protein
chr	NC_007795.1	76521	77435	-	3919450	-	SAOUHSC_00071	YP_498672.1	304	-	lipoprotein SirC
chr	NC_007795.1	77516	78511	-	3919451	-	SAOUHSC_00072	YP_498673.1	331	-	lipoprotein SirB
chr	NC_007795.1	78527	79519	-	3919452	-	SAOUHSC_00074	YP_498674.1	330	-	periplasmic binding protein
chr	NC_007795.1	79885	80730	+	3919453	-	SAOUHSC_00075	YP_498675.1	281	-	hypothetical protein SAOUHSC_00075
chr	NC_007795.1	80727	81737	+	3919454	-	SAOUHSC_00076	YP_498676.1	336	-	ornithine cyclodeaminase
chr	NC_007795.1	81758	83512	+	3919455	-	SAOUHSC_00077	YP_498677.1	584	-	hypothetical protein SAOUHSC_00077
chr	NC_007795.1	83505	84761	+	3919456	-	SAOUHSC_00078	YP_498678.1	418	-	hypothetical protein SAOUHSC_00078
chr	NC_007795.1	84751	86487	+	3919457	-	SAOUHSC_00079	YP_498679.1	578	-	hypothetical protein SAOUHSC_00079
chr	NC_007795.1	86396	88246	+	3919458	-	SAOUHSC_00080	YP_498680.1	616	-	hypothetical protein SAOUHSC_00080
chr	NC_007795.1	88221	88997	+	3919459	-	SAOUHSC_00081	YP_498681.1	258	-	hypothetical protein SAOUHSC_00081
chr	NC_007795.1	88997	90199	+	3919460	-	SAOUHSC_00082	YP_498682.1	400	-	hypothetical protein SAOUHSC_00082
chr	NC_007795.1	90203	90967	+	3919461	-	SAOUHSC_00083	YP_498683.1	254	-	hypothetical protein SAOUHSC_00083
chr	NC_007795.1	91163	91570	+	3919462	-	SAOUHSC_00084	YP_498685.1	135	-	hypothetical protein SAOUHSC_00084
chr	NC_007795.1	91620	92246	+	3919463	-	SAOUHSC_00085	YP_498686.1	208	-	hypothetical protein SAOUHSC_00085
chr	NC_007795.1	92458	93234	+	3919464	-	SAOUHSC_00086	YP_498687.1	258	-	acetoin reductase
chr	NC_007795.1	93378	93500	+	3919465	-	SAOUHSC_00087	YP_498688.1	40	-	hypothetical protein SAOUHSC_00087
chr	NC_007795.1	93570	94550	+	3919466	-	SAOUHSC_00088	YP_498689.1	326	-	hypothetical protein SAOUHSC_00088
chr	NC_007795.1	94513	95205	+	3919800	-	SAOUHSC_00089	YP_498690.1	230	-	hypothetical protein SAOUHSC_00089
chr	NC_007795.1	95415	96581	+	3919801	-	SAOUHSC_00090	YP_498691.1	388	-	hypothetical protein SAOUHSC_00090
chr	NC_007795.1	96562	97800	+	3919802	-	SAOUHSC_00091	YP_498692.1	412	-	hypothetical protein SAOUHSC_00091
chr	NC_007795.1	97790	99220	+	3919803	-	SAOUHSC_00092	YP_498693.1	476	-	hypothetical protein SAOUHSC_00092
chr	NC_007795.1	99488	100087	+	3919804	-	SAOUHSC_00093	YP_498694.1	199	-	superoxide dismutase
chr	NC_007795.1	100455	101054	+	3919805	-	SAOUHSC_00094	YP_498695.1	199	-	hypothetical protein SAOUHSC_00094
chr	NC_007795.1	101370	102125	-	3919806	-	SAOUHSC_00096	YP_498696.1	251	-	GntR family transcriptional regulator
chr	NC_007795.1	102361	103068	+	3919807	-	SAOUHSC_00097	YP_498698.1	235	-	purine nucleoside phosphorylase
chr	NC_007795.1	103075	104427	+	3919808	-	SAOUHSC_00099	YP_498699.1	450	-	hypothetical protein SAOUHSC_00099
chr	NC_007795.1	104508	105170	+	3919809	-	SAOUHSC_00100	YP_498700.1	220	-	deoxyribose-phosphate aldolase
chr	NC_007795.1	105198	106376	+	3919810	-	SAOUHSC_00101	YP_498701.1	392	-	phosphopentomutase
chr	NC_007795.1	106507	107322	-	3919811	-	SAOUHSC_00102	YP_498702.1	271	-	phosphonates ABC transporter permease
chr	NC_007795.1	107319	108119	-	3919812	-	SAOUHSC_00103	YP_498703.1	266	-	phosphonates ABC transporter permease
chr	NC_007795.1	108121	108894	-	3919813	-	SAOUHSC_00104	YP_498704.1	257	-	amino acid ABC transporter ATP-binding protein
chr	NC_007795.1	109108	110064	-	3919814	-	SAOUHSC_00105	YP_498705.1	318	-	phosphonate ABC transporter substrate-binding protein
chr	NC_007795.1	110293	111837	+	3919815	-	SAOUHSC_00106	YP_498706.1	514	-	hypothetical protein SAOUHSC_00106
chr	NC_007795.1	111888	113423	+	3919816	-	SAOUHSC_00107	YP_498707.1	511	-	hypothetical protein SAOUHSC_00107
chr	NC_007795.1	113507	113710	+	3919817	-	SAOUHSC_00108	YP_498708.1	67	-	hypothetical protein SAOUHSC_00108
chr	NC_007795.1	114083	114568	+	3919818	-	SAOUHSC_00109	YP_498709.1	161	-	replication initiation protein
chr	NC_007795.1	114927	115214	+	3919820	-	SAOUHSC_00111	YP_498711.1	95	-	hypothetical protein SAOUHSC_00111
chr	NC_007795.1	116538	119147	+	3919822	-	SAOUHSC_00113	YP_498713.1	869	-	bifunctional acetaldehyde-CoA/alcohol dehydrogenase
chr	NC_007795.1	119492	120160	+	3919823	-	SAOUHSC_00114	YP_498714.1	222	-	capsular polysaccharide biosynthesis protein
chr	NC_007795.1	120176	120862	+	3919824	-	SAOUHSC_00115	YP_498715.1	228	-	capsular polysaccharide biosynthesis protein Cap5B
chr	NC_007795.1	120865	121629	+	3919825	-	SAOUHSC_00116	YP_498716.1	254	-	capsular polysaccharide biosynthesis protein Cap8C
chr	NC_007795.1	121649	123472	+	3919826	-	SAOUHSC_00117	YP_498717.1	607	-	capsular polysaccharide biosynthesis protein Cap5D
chr	NC_007795.1	123462	124490	+	3919827	-	SAOUHSC_00118	YP_498718.1	342	-	capsular polysaccharide biosynthesis protein Cap5E
chr	NC_007795.1	124503	125612	+	3919828	-	SAOUHSC_00119	YP_498719.1	369	-	capsular polysaccharide biosynthesis protein Cap8F
chr	NC_007795.1	125616	126740	+	3919829	-	SAOUHSC_00120	YP_498720.1	374	-	UDP-N-acetylglucosamine 2-epimerase
chr	NC_007795.1	126743	127369	+	3919830	-	SAOUHSC_00121	YP_498721.1	208	-	capsular polysaccharide biosynthesis protein O-acetyl transferase Cap5H
chr	NC_007795.1	127374	128483	+	3919831	-	SAOUHSC_00122	YP_498722.1	369	-	capsular polysaccharide biosynthesis protein Cap5I
chr	NC_007795.1	128497	129663	+	3919832	-	SAOUHSC_00123	YP_498723.1	388	-	capsular polysaccharide biosynthesis protein Cap5J
chr	NC_007795.1	129656	130861	+	3919833	-	SAOUHSC_00124	YP_498724.1	401	-	capsular polysaccharide biosynthesis protein Cap5K
chr	NC_007795.1	130862	132067	+	3919834	-	SAOUHSC_00125	YP_498725.1	401	-	cap5L protein/glycosyltransferase
chr	NC_007795.1	132078	132635	+	3919835	-	SAOUHSC_00126	YP_498726.1	185	-	capsular polysaccharide biosynthesis protein Cap8M
chr	NC_007795.1	132635	133522	+	3919836	-	SAOUHSC_00127	YP_498727.1	295	-	cap5N protein/UDP-glucose 4-epimerase
chr	NC_007795.1	133576	134838	+	3919837	-	SAOUHSC_00128	YP_498728.1	420	-	cap5O protein/UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase
chr	NC_007795.1	134915	136060	+	3919838	-	SAOUHSC_00129	YP_498729.1	381	-	UDP-N-acetylglucosamine 2-epimerase
chr	NC_007795.1	136125	136451	-	3919839	-	SAOUHSC_00130	YP_498730.1	108	-	heme-degrading monooxygenase IsdI
chr	NC_007795.1	136458	136841	-	3919840	-	SAOUHSC_00131	YP_498731.1	127	-	hypothetical protein SAOUHSC_00131
chr	NC_007795.1	137268	138755	+	3919841	-	SAOUHSC_00132	YP_498732.1	495	-	aldehyde dehydrogenase
chr	NC_007795.1	139401	140360	+	3919842	-	SAOUHSC_00133	YP_498733.1	319	-	hypothetical protein SAOUHSC_00133
chr	NC_007795.1	140422	140625	-	3919843	-	SAOUHSC_00134	YP_498734.1	67	-	hypothetical protein SAOUHSC_00134
chr	NC_007795.1	140804	141316	+	3919844	-	SAOUHSC_00135	YP_498735.1	170	-	hypothetical protein SAOUHSC_00135
chr	NC_007795.1	141658	142398	+	3919845	-	SAOUHSC_00136	YP_498736.1	246	-	hypothetical protein SAOUHSC_00136
chr	NC_007795.1	142412	143386	+	3919846	-	SAOUHSC_00137	YP_498737.1	324	-	hypothetical protein SAOUHSC_00137
chr	NC_007795.1	143383	144144	+	3919847	-	SAOUHSC_00138	YP_498738.1	253	-	hypothetical protein SAOUHSC_00138
chr	NC_007795.1	144157	145188	+	3919848	-	SAOUHSC_00139	YP_498739.1	343	-	hypothetical protein SAOUHSC_00139
chr	NC_007795.1	145405	145764	+	3919849	-	SAOUHSC_00141	YP_498740.1	119	-	hypothetical protein SAOUHSC_00141
chr	NC_007795.1	145937	146962	+	3919850	-	SAOUHSC_00142	YP_498741.1	341	-	formate dehydrogenase
chr	NC_007795.1	147348	148598	+	3919851	-	SAOUHSC_00143	YP_498742.1	416	-	hypothetical protein SAOUHSC_00143
chr	NC_007795.1	149045	156220	+	3919852	-	SAOUHSC_00144	YP_498743.1	2391	-	hypothetical protein SAOUHSC_00144
chr	NC_007795.1	156233	156877	+	3919853	-	SAOUHSC_00145	YP_498744.1	214	-	hypothetical protein SAOUHSC_00145
chr	NC_007795.1	157205	157684	-	3919854	-	SAOUHSC_00146	YP_498745.1	159	-	hypothetical protein SAOUHSC_00146
chr	NC_007795.1	157954	158718	-	3919855	-	SAOUHSC_00147	YP_498746.1	254	-	acetylglutamate kinase
chr	NC_007795.1	158734	159975	-	3919856	argJ	SAOUHSC_00148	YP_498747.1	413	-	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase
chr	NC_007795.1	159987	161018	-	3919857	argC	SAOUHSC_00149	YP_498748.1	343	-	N-acetyl-gamma-glutamyl-phosphate reductase
chr	NC_007795.1	161057	162241	-	3919858	-	SAOUHSC_00150	YP_498749.1	394	-	ornithine aminotransferase
chr	NC_007795.1	162494	163849	-	3919859	-	SAOUHSC_00151	YP_498750.1	451	-	branched-chain amino acid transport system II carrier protein
chr	NC_007795.1	164125	164622	-	3919860	-	SAOUHSC_00152	YP_498751.1	165	-	hypothetical protein SAOUHSC_00152
chr	NC_007795.1	164749	166389	-	3919861	-	SAOUHSC_00153	YP_498752.1	546	-	indolepyruvate decarboxylase
chr	NC_007795.1	166583	166684	+	3919862	-	SAOUHSC_00154	YP_498753.1	33	-	hypothetical protein SAOUHSC_00154
chr	NC_007795.1	166663	168660	-	3919863	-	SAOUHSC_00155	YP_498754.1	665	-	PTS system glucose-specific protein
chr	NC_007795.1	169309	170349	+	3919864	-	SAOUHSC_00156	YP_498755.1	346	-	hypothetical protein SAOUHSC_00156
chr	NC_007795.1	170349	171245	+	3919865	murQ	SAOUHSC_00157	YP_498756.1	298	-	N-acetylmuramic acid-6-phosphate etherase
chr	NC_007795.1	171257	172711	+	3919866	-	SAOUHSC_00158	YP_498757.1	484	-	PTS system transporter
chr	NC_007795.1	172714	173589	+	3919867	-	SAOUHSC_00160	YP_498758.1	291	-	hypothetical protein SAOUHSC_00160
chr	NC_007795.1	173783	174064	-	3919868	-	SAOUHSC_00161	YP_498759.1	93	-	hypothetical protein SAOUHSC_00161
chr	NC_007795.1	174277	177066	+	3919869	-	SAOUHSC_00162	YP_498760.1	929	-	HsdR family type I site-specific deoxyribonuclease
chr	NC_007795.1	177271	178113	+	3919870	-	SAOUHSC_00163	YP_498761.1	280	-	hypothetical protein SAOUHSC_00163
chr	NC_007795.1	178115	179038	+	3919871	-	SAOUHSC_00164	YP_498762.1	307	-	hypothetical protein SAOUHSC_00164
chr	NC_007795.1	179025	180137	+	3919872	-	SAOUHSC_00166	YP_498763.1	370	-	hypothetical protein SAOUHSC_00166
chr	NC_007795.1	180402	181994	-	3919873	-	SAOUHSC_00167	YP_498764.1	530	-	peptide ABC transporter ATP-binding protein
chr	NC_007795.1	181951	183429	+	3919874	-	SAOUHSC_00168	YP_498765.1	492	-	hypothetical protein SAOUHSC_00168
chr	NC_007795.1	183435	184598	+	3919875	-	SAOUHSC_00169	YP_498766.1	387	-	peptide ABC transporter permease
chr	NC_007795.1	184615	186390	+	3919876	-	SAOUHSC_00170	YP_498767.1	591	-	RGD-containing lipoprotein
chr	NC_007795.1	186428	188434	+	3919877	-	SAOUHSC_00171	YP_498768.1	668	-	gamma-glutamyltranspeptidase
chr	NC_007795.1	188732	189505	-	3919486	-	SAOUHSC_00172	YP_498769.1	257	-	hypothetical protein SAOUHSC_00172
chr	NC_007795.1	189695	190321	-	3919487	-	SAOUHSC_00173	YP_498770.1	208	-	azoreductase
chr	NC_007795.1	190530	191108	+	3919488	-	SAOUHSC_00174	YP_498771.1	192	-	M23/M37 peptidase domain-containing protein
chr	NC_007795.1	191491	192588	+	3919489	-	SAOUHSC_00175	YP_498772.1	365	-	multiple sugar-binding transport ATP-binding protein
chr	NC_007795.1	192601	193872	+	3919490	-	SAOUHSC_00176	YP_498773.1	423	-	extracellular solute-binding protein
chr	NC_007795.1	193875	195143	+	3919491	-	SAOUHSC_00177	YP_498774.1	422	-	maltose ABC transporter permease
chr	NC_007795.1	195145	195984	+	3919492	-	SAOUHSC_00178	YP_498775.1	279	-	maltose ABC transporter permease
chr	NC_007795.1	196058	197134	+	3919493	-	SAOUHSC_00179	YP_498776.1	358	-	hypothetical protein SAOUHSC_00179
chr	NC_007795.1	197159	198199	+	3919494	-	SAOUHSC_00180	YP_498777.1	346	-	hypothetical protein SAOUHSC_00180
chr	NC_007795.1	198254	199222	+	3919495	-	SAOUHSC_00181	YP_498778.1	322	-	hypothetical protein SAOUHSC_00181
chr	NC_007795.1	199583	200155	-	3919496	-	SAOUHSC_00182	YP_498779.1	190	-	hypothetical protein SAOUHSC_00182
chr	NC_007795.1	200310	201689	+	3919497	uhpT	SAOUHSC_00183	YP_498780.1	459	-	sugar phosphate antiporter
chr	NC_007795.1	202048	202806	-	3919498	-	SAOUHSC_00184	YP_498781.1	252	-	response regulator receiver domain-containing protein
chr	NC_007795.1	202799	204355	-	3919499	-	SAOUHSC_00185	YP_498782.1	518	-	hypothetical protein SAOUHSC_00185
chr	NC_007795.1	204352	205320	-	3919500	-	SAOUHSC_00186	YP_498783.1	322	-	lipoprotein
chr	NC_007795.1	205908	208157	+	3919501	-	SAOUHSC_00187	YP_498784.1	749	-	formate acetyltransferase
chr	NC_007795.1	208180	208935	+	3919502	-	SAOUHSC_00188	YP_498785.1	251	-	pyruvate formate-lyase 1 activating enzyme
chr	NC_007795.1	209271	211034	+	3919504	-	SAOUHSC_00190	YP_498787.1	587	-	hypothetical protein SAOUHSC_00190
chr	NC_007795.1	211198	211542	-	3919505	-	SAOUHSC_00191	YP_498788.1	114	-	hypothetical protein SAOUHSC_00191
chr	NC_007795.1	211732	213642	+	3920348	-	SAOUHSC_00192	YP_498789.1	636	-	staphylocoagulase
chr	NC_007795.1	213824	213931	-	3920349	-	SAOUHSC_00193	YP_498790.1	35	-	hypothetical protein SAOUHSC_00193
chr	NC_007795.1	214246	215430	-	3920351	-	SAOUHSC_00195	YP_498792.1	394	-	acetyl-CoA acetyltransferase
chr	NC_007795.1	215460	217721	-	3920352	-	SAOUHSC_00196	YP_498793.1	753	-	hypothetical protein SAOUHSC_00196
chr	NC_007795.1	217907	219118	-	3920353	-	SAOUHSC_00197	YP_498794.1	403	-	hypothetical protein SAOUHSC_00197
chr	NC_007795.1	219230	220735	-	3920354	-	SAOUHSC_00198	YP_498795.1	501	-	hypothetical protein SAOUHSC_00198
chr	NC_007795.1	220761	222338	-	3920355	-	SAOUHSC_00199	YP_498796.1	525	-	hypothetical protein SAOUHSC_00199
chr	NC_007795.1	222779	223921	+	3920356	-	SAOUHSC_00200	YP_498797.1	380	-	hypothetical protein SAOUHSC_00200
chr	NC_007795.1	224235	225647	-	3920357	-	SAOUHSC_00201	YP_498798.1	470	-	hypothetical protein SAOUHSC_00201
chr	NC_007795.1	225908	226264	-	3920358	-	SAOUHSC_00202	YP_498799.1	118	-	hypothetical protein SAOUHSC_00202
chr	NC_007795.1	226421	226594	-	3920359	-	SAOUHSC_00203	YP_498800.1	57	-	hypothetical protein SAOUHSC_00203
chr	NC_007795.1	226620	227765	-	3920360	-	SAOUHSC_00204	YP_498801.1	381	-	globin domain-containing protein
chr	NC_007795.1	227920	228027	+	3920361	-	SAOUHSC_00205	YP_498802.1	35	-	hypothetical protein SAOUHSC_00205
chr	NC_007795.1	228482	229291	+	3920362	-	SAOUHSC_00206	YP_498803.1	269	-	L-lactate dehydrogenase
chr	NC_007795.1	229502	229645	+	3920363	-	SAOUHSC_00208	YP_498804.1	47	-	hypothetical protein SAOUHSC_00208
chr	NC_007795.1	229611	231140	-	3920364	-	SAOUHSC_00209	YP_498805.1	509	-	PTS system glucose-specific transporter subunit IIBC
chr	NC_007795.1	231502	232437	+	3920365	-	SAOUHSC_00211	YP_498806.1	311	-	hypothetical protein SAOUHSC_00211
chr	NC_007795.1	232547	232645	+	3920366	-	SAOUHSC_00212	YP_498807.1	32	-	hypothetical protein SAOUHSC_00212
chr	NC_007795.1	232776	234872	+	3920289	-	SAOUHSC_00213	YP_498808.1	698	-	hypothetical protein SAOUHSC_00213
chr	NC_007795.1	234857	235324	+	3920290	-	SAOUHSC_00214	YP_498809.1	155	-	PTS system transporter subunit IIA
chr	NC_007795.1	235347	235625	+	3920291	-	SAOUHSC_00215	YP_498810.1	92	-	PTS system transporter
chr	NC_007795.1	235852	237111	+	3920292	-	SAOUHSC_00216	YP_498811.1	419	-	PTS system transporter
chr	NC_007795.1	237129	238184	+	3920293	-	SAOUHSC_00217	YP_498812.1	351	-	sorbitol dehydrogenase
chr	NC_007795.1	238186	238332	+	3920294	-	SAOUHSC_00218	YP_498813.1	48	-	hypothetical protein SAOUHSC_00218
chr	NC_007795.1	238356	239399	+	3920295	-	SAOUHSC_00219	YP_498814.1	347	-	hypothetical protein SAOUHSC_00219
chr	NC_007795.1	239969	240643	+	3920296	-	SAOUHSC_00220	YP_498815.1	224	-	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
chr	NC_007795.1	240636	241661	+	3920297	-	SAOUHSC_00221	YP_498816.1	341	-	alcohol dehydrogenase
chr	NC_007795.1	241836	243377	+	3920298	-	SAOUHSC_00222	YP_498818.1	513	-	teichoic acid biosynthesis protein TagB
chr	NC_007795.1	243805	244974	+	3920299	-	SAOUHSC_00223	YP_498819.1	389	-	teichoic acid biosynthesis protein F
chr	NC_007795.1	245250	245966	+	3920300	ispD	SAOUHSC_00225	YP_498820.1	238	-	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
chr	NC_007795.1	245959	246984	+	3920301	-	SAOUHSC_00226	YP_498821.1	341	-	hypothetical protein SAOUHSC_00226
chr	NC_007795.1	247006	248694	+	3920302	-	SAOUHSC_00227	YP_498822.1	562	-	hypothetical protein SAOUHSC_00227
chr	NC_007795.1	248727	250451	+	3920303	-	SAOUHSC_00228	YP_498823.1	574	-	hypothetical protein SAOUHSC_00228
chr	NC_007795.1	250591	251265	+	3920304	-	SAOUHSC_00229	YP_498824.1	224	-	cell wall biosynthesis protein ScdA
chr	NC_007795.1	251527	253266	+	3920305	-	SAOUHSC_00230	YP_498825.1	579	-	two-component sensor histidine kinase
chr	NC_007795.1	253269	254009	+	3920306	-	SAOUHSC_00231	YP_498826.1	246	-	two-component response regulator
chr	NC_007795.1	254122	254565	+	3920307	-	SAOUHSC_00232	YP_498827.1	147	-	murein hydrolase regulator LrgA
chr	NC_007795.1	254558	255259	+	3920308	-	SAOUHSC_00233	YP_498828.1	233	-	antiholin-like protein LrgB
